"Date","Transaction","Name","Memo","Amount"
"2025-08-22","CREDIT","ELECTRONIC DEPOSIT NBC CORPORATION","Download from usbank.com.","2143.73"
"2025-08-22","DEBIT","MOBILE BANKING TRANSFER WITHDRAWAL 1338","Download from usbank.com.","-1500.00"
"2025-08-22","DEBIT","RECURRING DEBIT PURCHASE GOOGLE *Bending 855-836-3987CA","Download from usbank.com.5366","-10.49"
"2025-08-22","DEBIT","DEBIT PURCHASE TAKE 5 #579     WAUKESHA    WI","Download from usbank.com.5366","-117.43"
"2025-08-25","CREDIT","ELECTRONIC DEPOSIT Wisconsin Youth","Download from usbank.com.","85.00"
"2025-08-25","CREDIT","MOBILE BANKING TRANSFER DEPOSIT 1338","Download from usbank.com.","500.00"
"2025-08-25","CREDIT","INTERNET BANKING TRANSFER DEPOSIT 1338","Download from usbank.com.","50.00"
"2025-08-25","CREDIT","MOBILE BANKING TRANSFER DEPOSIT 1338","Download from usbank.com.","150.00"
"2025-08-25","DEBIT","DEBIT PURCHASE -VISA PICK N SAVE #374PEWAUKEE    WI","Download from usbank.com.5366","-8.68"
"2025-08-25","DEBIT","RECURRING DEBIT PURCHASE LEMONADE INSURANLEMONADE.COMNY","Download from usbank.com.0137","-20.41"
"2025-08-25","DEBIT","DEBIT PURCHASE -VISA DUNKIN #350655 QWAUKESHA    WI","Download from usbank.com.5366","-19.89"
"2025-08-25","DEBIT","DEBIT PURCHASE -VISA AMAZON MKTPL*TP4Amzn.com/bilWA","Download from usbank.com.5366","-24.99"
"2025-08-25","DEBIT","DEBIT PURCHASE -VISA Amazon.com*OA2GZAmzn.com/bilWA","Download from usbank.com.5366","-58.17"
"2025-08-25","DEBIT","DEBIT PURCHASE -VISA TST* HUHOT MONGOWEST ALLIS  WI","Download from usbank.com.5366","-45.00"
"2025-08-25","DEBIT","RECURRING DEBIT PURCHASE ANTHROPIC       ANTHROPIC.COCA","Download from usbank.com.5366","-12.00"
"2025-08-25","DEBIT","RECURRING DEBIT PURCHASE ANTHROPIC       ANTHROPIC.COCA","Download from usbank.com.5366","-18.00"
"2025-08-25","DEBIT","RECURRING DEBIT PURCHASE ANTHROPIC       ANTHROPIC.COCA","Download from usbank.com.5366","-25.00"
"2025-08-25","DEBIT","RECURRING DEBIT PURCHASE ANTHROPIC       ANTHROPIC.COCA","Download from usbank.com.5366","-25.00"
"2025-08-25","DEBIT","RECURRING DEBIT PURCHASE ANTHROPIC       ANTHROPIC.COCA","Download from usbank.com.5366","-12.00"
"2025-08-25","DEBIT","RECURRING DEBIT PURCHASE CURSOR AI POWERCURSOR.COM  NY","Download from usbank.com.5366","-20.00"
"2025-08-25","DEBIT","DEBIT PURCHASE WOODMANS FOOD M WAUKESHA    WI","Download from usbank.com.0137","-135.34"
"2025-08-25","DEBIT","DEBIT PURCHASE -VISA JERSEY MIKES 290WAUKESHA    WI","Download from usbank.com.0137","-23.14"
"2025-08-25","DEBIT","RECURRING DEBIT PURCHASE ANTHROPIC       ANTHROPIC.COCA","Download from usbank.com.5366","-33.00"
"2025-08-25","DEBIT","RECURRING DEBIT PURCHASE ANTHROPIC       ANTHROPIC.COCA","Download from usbank.com.5366","-25.00"
"2025-08-25","DEBIT","DEBIT PURCHASE -VISA AMAZON MKTPL*NL5Amzn.com/bilWA","Download from usbank.com.5366","-65.78"
"2025-08-25","DEBIT","DEBIT PURCHASE -VISA SQ *MILWAUKEE KIMILWAUKEE   WI","Download from usbank.com.5366","-8.00"
"2025-08-25","DEBIT","DEBIT PURCHASE BP#184207935846 PEWAUKEE    WI","Download from usbank.com.0137","-35.68"
"2025-08-25","DEBIT","DEBIT PURCHASE 7-ELEVEN        Pewaukee    WI","Download from usbank.com.5366","-14.96"
